Product Name,Product Type,Quantity,Cost of Goods Sold,Net Sales,Gross Profit
Bear 小熊电器 上加水 4.5升 香薰静音加湿器 JSQ-C45C5,appliances,46.00,998.20,2004.31,1006.11
【升级版 送蒸架】天际Tonze 微电脑隔水电炖盅 1.0L DDZ-10KDS,appliances,71.00,1883.73,2875.65,991.92
Visibly Clean 便携免水酒精洗手液 59ml,life,960.00,2018.52,2990.44,971.92
【BLACKPINK同款】爱茉莉 HELLO BUBBLE 泡泡染发剂,beauty,112.00,900.43,1867.64,967.21
小浣熊 落地式加湿器 全自动空气净化机 5L JSQ-C50Q1,appliances,33.00,709.50,1660.39,950.89
Makoto 微电脑砂锅煲电炖锅 3L 450W DGD30-30GD,appliances,35.00,1594.33,2536.54,942.21
九阳 北山系列 3.5L 自动煲汤养生炖锅 家用日式陶瓷电炖煲 D-35Z2M,appliances,19.00,1742.56,2665.97,923.41
小米有品 追觅 Dreame 手持吸尘器 V9 家用除螨无线吸尘器 60分钟长续航大吸力 适用宠物家庭,appliances,41.00,9981.44,10876.56,895.12
Makoto 极速加热电磁炉+28CM锅 1800W SK-CB01-1,appliances,34.00,1519.22,2413.57,894.35
天际Tonze 微电脑电饭煲 FD30D 3L 优质陶瓷内胆,appliances,23.00,1431.06,2310.87,879.81
松下 Panasonic 快思逻辑智能西施电饭煲 SR-ZC075 4杯容量,appliances,28.00,1769.25,2638.51,869.26
三荣卫品 一次性使用防护口罩 50个/盒 (加宽弹性耳挂 ),life,118.00,4288.25,5156.55,868.30
World Kitchen 摇摇杯 便携榨汁杯 果汁机 400ml,appliances,155.00,1622.85,2488.78,865.93
DM  一次性使用医用隔离面罩 50个/盒,life,79.00,2901.67,3744.60,842.93
equate 免水消毒洗手液 89ml （去除99.99%细菌）,life,720.00,568.80,1404.95,836.15
九阳 高性价比全钢无网豆浆机 CTS-1078S 1-1.2L 白色,appliances,40.00,3004.80,3839.69,834.89
尤妮佳 Moony 经典 畅透系列纸尿裤,maternal,77.00,2078.40,2910.15,831.75
【加拿大制造】DELON 70% 酒精 450ml,life,130.00,955.50,1767.28,811.78
Bear 小熊电器 智能预约电热饭盒 可插电蒸煮 真空保鲜盒 DFH-B10T6 粉色款,appliances,45.00,1311.54,2123.12,811.58
【限购，每人1包 (50个)】Epic 一次性3层口罩 40578-RS5 50个装,life,205.00,1184.90,1989.08,804.18
【解放双手】Ropot 全自动智能炒菜机 自动烹饪机 4.2L,appliances,11.00,2255.00,3049.32,794.32
AOXING  KN95防护口罩  盒装/袋装,life,69.00,2861.25,3655.20,793.95
九阳 全钢全自动豆浆机 DJ13M-D82SG 经典款,appliances,10.00,1256.20,2036.80,780.60
小浣熊 电动打蛋器 家用手持台式搅拌机 DDQ-A40A1 (不适用于面食制作),appliances,46.00,1704.30,2481.82,777.52
天际Tonze/Makoto 多功能黑陶内胆电炖养生锅4L DGD40-40LD,appliances,19.00,1200.32,1970.25,769.93
【景甜推荐】小林制药 洗眼液 500ml,beauty,86.00,1192.34,1959.65,767.31
九阳 智能破壁双预约豆浆机 DJ13U-D988SG,appliances,15.00,3481.35,4248.48,767.13
【懒人神器】小浣熊 电热锅多功能电煮锅 双层电热杯煮面锅 DRG-C1203,appliances,139.00,2780.00,3505.51,725.51
HD双面防雾 透明防飞沫护面罩,life,176.00,664.46,1381.61,717.16
熊猫牌Panda 全自动家用洗衣机 【请联系客服 support@thebestshop.ca 下单】,appliances,12.00,2887.50,3600.00,712.50
SKG 筋膜枪 肌肉放松器 经膜机颈仪 F3,appliances,12.00,1093.35,1798.89,705.54
小米有品 追觅 Dreame 吸尘器V11家用手持立式无线除螨吸尘器90分钟长续航大功率,appliances,5.00,1939.77,2627.46,687.69
【加倍防护】防雾超轻护目镜,life,50.00,304.50,986.04,681.54
小米有品 追觅Dreame 无线手持吸尘器 XR VV4N,appliances,8.00,2436.00,3112.21,676.21
HQ 可爱迷你洗衣机 XPB25-268 2.5公斤 蓝色,appliances,20.00,1470.00,2134.71,664.71
【限购，每人1盒 (20个)】 N95口罩 SRS1010 (非医用),life,18.00,756.00,1415.83,659.83
Dokkan Aburadasu Premium Superherb Supplement 夜间植物酵素 香槟金升级版 180粒,beauty,84.00,2734.66,3392.57,657.91
全身家用敲敲背  按摩捶打颈部肩部背部腰部,appliances,71.00,1755.83,2409.22,653.39
小米 米家自动洗手机套装 0.25秒感应出泡,life,129.00,2232.44,2882.19,649.75
九阳 研磨豆浆机 1.2L DJ12M-A910SG,appliances,18.00,1278.74,1902.48,623.74
添翔健康Teamsun health 一次性使用医用口罩 50个/盒,life,60.00,2262.00,2881.21,619.21
【韩国制】 AEL KF94 白色4层防护口罩 独立包装 中码/大码,life,132.00,1248.48,1860.90,612.42
【台湾之光】大同TATUNG TAC-11KN(UL) 隔水炖煮 4L/11杯米 一锅多用,appliances,8.00,1537.20,2119.92,582.72
九阳 家用自动馒头机 MT-100SU901,appliances,17.00,2324.75,2896.87,572.12
美的 15合1智能电压力锅 MY-CS6004W 6L,appliances,27.00,1625.67,2179.36,553.69
Makoto 隔水电炖盅白瓷3+1电炖锅 DGD32-32BG 3.2L,appliances,21.00,1166.34,1716.27,549.93
多功能不锈钢肠粉机 双层三盘,life,11.00,378.07,907.65,529.58
TT 一次性Vinyl手套  100个/盒  中码/大码,life,120.00,472.80,995.78,522.98
Forcefield 防护服 深蓝色  两种尺寸可选,life,81.00,1020.60,1543.21,522.61
一次性三层儿童口罩 小熊猫印花 50个/盒,life,115.00,994.30,1513.84,519.54
ITO 纯棉加厚棉柔巾 一次性洗脸巾 250g,beauty,787.00,4517.30,5034.75,517.47
【加拿大制造】Safecross 70%酒精 500ml,life,96.00,604.80,1120.81,516.01
象印 全自动微电脑电饭煲 NL-AAC系列,appliances,14.00,2142.32,2650.88,508.56
万力塑胶vinyl防护手套  100只/盒,life,60.00,347.40,855.56,508.16
Gik PRP血清胶原蛋白面膜帖14枚入 保湿提升弹力修复面膜,beauty,465.00,2310.73,2815.59,504.87
仁冠 N95防护口罩,life,169.00,1195.60,1692.65,497.05
美的 智能立体加热电饭煲 3L MB-FS3017 英文控制面板,appliances,11.00,629.55,1126.06,496.51
FITTOP非兔 KN95口罩【增强型四层防护】10个/包,life,106.00,4452.00,4947.00,495.00
【加拿大制造】70%酒精速干免水洗手液  免洗消毒凝胶 350ml,life,101.00,636.30,1130.30,494.00
九阳 铁釜智能家用电饭煲 4L 790W JYF-40FS12M,appliances,11.00,1012.59,1501.51,488.95
DOKKAN GOLD 夜间植物酵素 金装加强版 150粒,beauty,43.00,1179.31,1659.41,480.13
柳屋 防脱发根精华营养液 生发护发素 240ml,beauty,92.00,956.42,1435.88,479.47
Bruno多功能料理锅 三色可选,appliances,10.00,1410.36,1879.89,469.53
韩国 KMPC立洁白 深层强效除霉膏 除霉啫喱 120g,life,654.00,2151.45,2606.60,455.15
【加拿大制造】75%酒精 带喷头 250ml,life,100.00,525.00,978.82,453.82
象印 家用顶级烘培面包机 BB-PAC20-BA 黑色,appliances,6.00,1980.00,2429.65,449.65
INTCO英科医疗  一次性PVC防护手套  L大码 100个/盒,life,48.00,258.24,704.88,446.64
牛听听 儿童智能熏教机 音质版 礼盒装,maternal,7.00,770.00,1214.71,444.71
小米有品 映趣 3D智能剃须刀,appliances,106.00,1101.37,1542.95,441.60
Medhope蓝色一次性三层口罩 100个/盒,life,40.00,2514.80,2955.87,441.07
Makoto 微电脑多功能玻璃养生壶 1.5升 ZM-B01,appliances,18.00,623.70,1063.38,439.68
【台湾之光】大同TATUNG 多功能电饭煲 隔水加热电锅 TAC-6G(SF) 6杯,appliances,8.00,882.00,1312.92,430.92
九阳 智能家用电饭煲 4L 860W JYF-40FS19-U 白色,appliances,10.00,768.80,1198.18,429.38
【限定】嘉娜宝 2020年天使蜜粉 30周年纪念版,beauty,13.00,1564.55,1990.55,426.05
花王 liese 泡泡染发剂 设计系列 9色全,beauty,114.00,1144.37,1564.78,420.41
舒放KN95 儿童口罩四层防护口罩 10个/盒,life,31.00,501.89,921.13,419.24
【限购，每人1包 (50个)】Fisherbrand 一次性3层口罩 （50个装） 过滤99％细菌,life,62.00,488.56,899.46,410.90
Hamilton Beach 家用食物料理机多功能榨汁 70720C,appliances,10.00,366.45,772.11,405.66
ARAX 防花粉尘过敏抗菌口罩 可洗可多次使用  3个/包,life,122.00,906.25,1300.53,394.28
Home Aestherics 75%酒精 湿纸巾 50张/包,life,236.00,489.66,883.83,394.17
九阳 双层不锈钢电热水壶 1.5L 1100W K15-F026M 粉色,appliances,15.00,487.50,875.96,388.46
ATEX 全身家用多功能按摩枕头,beauty,10.00,797.22,1183.07,385.85
Makoto 家用电陶炉 SK-K5 1500W 多档火力 远红外聚能加热 (不含锅),appliances,20.00,870.40,1250.78,380.38
Hamilton Beach 家用咖啡豆研磨机 80333R,appliances,15.00,236.25,614.82,378.57
【每人限购一瓶】Giant Eagle 酒精消毒洗手液（含维生素E）946ml （去除99.99%细菌）,life,90.00,401.40,774.62,373.22
皇汉堂 小粉丸 排毒养颜润肠道通便秘丸 400粒,beauty,64.00,723.75,1095.26,371.51
【小米有品】EraClean 超声波清洗机 GA01,appliances,16.00,560.00,928.97,368.97
小米有品 拓牛 感应式智能垃圾桶 15.5L大容量,appliances,9.00,720.09,1081.95,361.86
小浣熊 家用静音加湿器 空气净化杀菌香薰机 4L JSQ-A40A2,appliances,12.00,328.20,684.41,356.21
【意大利制】Alluflon 麦饭石平底煎锅 32cm,life,17.00,138.72,494.52,355.80
Cuisinart 多功能对流式1800瓦煎烤箱 TOA-120PCC,appliances,4.00,697.00,1051.96,354.96
【SKG超级礼盒】买 2个SKG筋膜枪 送 1个SKG颈部按摩仪,appliances,9.00,2339.49,2691.00,351.51
日式 麦饭石雪平锅奶锅 18cm/20cm 不带盖,life,33.00,335.06,683.58,348.52
INTEXCA 网红养生经络加热按摩足浴桶 1080,appliances,6.00,567.00,911.97,344.97
小浣熊 天然玻璃电热水壶 养生茶壶 1.7L ZDH-A17G5,appliances,25.00,581.50,924.15,342.65
AIKA爱家 加热足部按摩盆 泡脚盆,appliances,21.00,548.31,890.81,342.50
天际Tonze 微电脑电饭煲 FD20D 2L 优质陶瓷内胆,appliances,27.00,1557.90,1895.76,337.86
按摩高手 经典4球车家两用按摩枕,appliances,20.00,346.20,680.61,334.41
【加拿大制造】Bodico 70%医用酒精,life,168.00,297.84,629.52,331.68
网红壁挂桶 多场景用途 折叠垃圾桶 SL-8818 多色混发,life,42.00,242.76,572.19,329.43
Hamilton Beach 旗下 ProctorSilex 手持电动火腿切片机 74311Y,appliances,13.00,195.52,519.87,324.35
Fence-Guard一次性医用手套 100个/盒  三种尺寸可选,life,57.00,568.86,892.85,323.99
珂润 润浸保湿洁颜泡沫150ml,beauty,83.00,978.39,1299.65,321.26
小米生态 Yi 小蚁 家用1080P云台WiFi摄像机 语音/追踪/夜视/监控,appliances,50.00,1507.11,1828.22,321.11
小浣熊 多功能电蒸锅/电火锅 微电脑预约定时 DZG-A80A1,appliances,16.00,888.48,1208.58,320.10
Odyssey N95口罩 NIOSH认证 （20个/盒）,life,48.00,2520.00,2839.90,319.90
【2 for $25】Havepur 有谱  Medical一次性防护口罩 K-002,life,40.00,315.20,634.82,319.62
花王 liese 泡泡染发 自然系列 108g,beauty,76.00,713.89,1028.46,314.57
ProGemei 可充电 电动理发剃刀 GM-6066,appliances,20.00,283.00,596.45,313.45
XProducts 白色一次性手套 100入【 S小码】,life,50.00,485.50,795.42,309.92
小米 米家智能除菌上加水加湿器 连接米家APP,"",6.00,554.40,859.00,304.60
Pomerol一次性3层儿童防护口罩  50个/盒,life,40.00,1252.80,1556.10,303.30
PILLBOX ONAKA膳食营养素 减小腹腰赘肉内脏脂肪 60粒,beauty,59.00,1268.45,1568.15,299.70
【小米有品】薇新WellSkins 温热彩光按摩美眼仪 WX-MY300,beauty,11.00,319.00,617.91,298.91
凯博药用 KN95防护口罩 10个装,life,49.00,1264.20,1562.52,298.32
【蜂窝纹路】日本进口 Summit 燕三条铁流 精铁炒锅 铁锅 电磁炉适用,life,24.00,1313.55,1610.01,296.46
Laundrin 室内扩香精油 卧室衣柜无火香氛 80ml,life,64.00,693.60,988.59,294.99
Cuisinart 高速1-hp（1匹）食物料理机 搅拌机 SPB-650,appliances,6.00,461.28,755.94,294.66
象印 复合式真空节能不锈钢电热水壶 CV-DCC40XT/50XT,appliances,6.00,1273.04,1563.95,290.91
韩国 Sanelves山精灵 洗衣机槽除垢 去味 清洁粉 450g,life,254.00,655.41,946.06,290.70
【小米有品】映趣EnChen Boost理发器 充电式电推剪,appliances,29.00,435.00,725.67,290.67
天际Tonze 白瓷电炖锅 DGD40-40CWD 4L 玻化全瓷内胆 快慢两煲,appliances,10.00,403.40,693.94,290.54
小米 蓝牙遥控支架式自拍杆/三脚架  (黑色/灰色),appliances,51.00,1032.03,1319.35,287.32
SK-II小银瓶 肌因光蕴淡斑美白精华,beauty,6.00,808.47,1094.91,286.44
LAVONS 衣物柔顺剂 行走的香水 600ml,life,41.00,646.63,932.20,285.57
小浣熊 手持挂烫机 180ml 800W 猫耳粉色款,appliances,15.00,285.00,564.92,279.92
【加拿大制造】PureGelax 70%酒精 芦荟免水速干洗手液 350ml/瓶,life,49.00,304.22,582.46,278.24
花王 洗衣机槽酵素清洁粉 180g,life,344.00,1298.90,1570.62,271.72
Epic 一次性3层口罩 40578-RS5  50个/袋,life,57.00,2693.25,2961.39,268.14
君子岚 一次性透明塑料手套 100只/包,life,117.00,71.40,338.88,267.48
九阳 高速破壁机 JYL-Y15U 豆浆机榨汁机 一键清洗 可加热,appliances,5.00,1065.75,1332.86,267.11
SANI GUARD 一次性Vinyl手套  100个/盒  3种尺寸,life,50.00,174.50,440.43,265.93
【加拿大制造】HIRENOWN 75%酒精 带喷头 900ml,life,45.00,425.25,691.00,265.75
【限购，每人1盒 (3个)】 N95口罩 SRS1010-3Q (非医用) 3个装,life,45.00,614.25,879.30,265.05
爱家AIKA 全自动陶瓷药膳壶 3.8L CK-38B,appliances,7.00,238.00,500.88,262.88
RYO棕吕强韧发根防脱固发洗护套装,beauty,26.00,421.20,681.52,260.32
Hamilton Beach 迷你早餐三明治机 850W 25476C,appliances,16.00,369.60,628.52,258.92
树之惠 天然树液排毒足贴 30片,beauty,146.00,2632.48,2890.42,257.94
熊野油脂 无硅弱酸性马油洗护套装 600ml,beauty,37.00,402.35,659.62,257.27
【2020新款】松下 微电脑智能电饭煲 SR-JMY系列,appliances,4.00,660.45,914.96,254.51
POLA white shot 炫白局部精华霜 SXS美白淡斑 20g,beauty,7.00,909.58,1163.93,254.35
日产 Hario 耐冷耐热 带柄水壶,life,24.00,225.36,478.10,252.74
Elimedical白色一次性医用手套  200个/盒,life,20.00,336.00,587.82,251.82
GOGGLES 医用隔离眼罩／护目镜,life,68.00,497.76,747.94,250.18
JMsolution 2020胎盘素胶原蛋白面膜系列 10片装,beauty,86.00,569.32,818.15,248.83
【限购两个】 韩国制造 KF94 口罩 单个独立包装,life,100.00,341.00,588.03,247.03
Softmate Premium 纯棉干纸巾 (30片/160片/80片/100片/200片) 1包,maternal,70.00,424.20,671.14,246.94
【2019COSME大赏1位】安耐晒 完美超防水防晒霜 金瓶版 SPF50+ PA++++,beauty,18.00,709.24,954.21,244.97
资生堂ELIXIR 优悦活颜/纯肌净白防护精华乳 SPF50+ 35ml,beauty,19.00,698.09,942.48,244.39
Home Essentials  一次性Vinyl手套  120个/盒  2种尺寸,life,36.00,183.60,423.03,239.43
【小米有品】品罗Pinlo 随手果汁机 便携榨汁 350毫升 PL-B007W3W,appliances,10.00,250.00,487.40,237.40
SMART-LINK 家用免手洗干湿两用对折地拖套装 SL-931,life,18.00,244.80,482.01,237.21
小米有品 乐秀 Rosou 恒温杯垫 保温底座 ZS1,life,45.00,554.51,791.56,237.05
【台湾之光】大同TATUNG 多功能电饭煲 不锈钢内胆电锅 10杯,appliances,4.00,504.00,739.96,235.96
【意大利制】Moneta 带盖汤锅 24cm,life,6.00,48.96,282.33,233.37
白鲨 肠粉专用粉 500g,snacks,153.00,302.40,535.14,232.74
苏泊尔 SUPOR 4.5升 砂锅陶瓷煲 新陶养生煲 深汤煲,life,25.00,577.50,809.56,232.06
【COSME大赏】碧柔 Micro Defense 新版水感精华液 SPF50+PA++++ 50g,beauty,50.00,551.65,780.28,228.63
ATEX 充电式温热猫咪眼罩 KX512,beauty,16.00,714.68,943.14,228.46
小林制药 管道疏通清洁除臭丸 12粒,life,79.00,491.32,719.06,227.74
韩国 自然乐园 92%芦荟胶补水保湿面霜 300ml,beauty,125.00,440.00,667.21,227.21
白兔牌 EVE 速效止痛片系列,life,38.00,535.17,761.21,226.04
Wifer 好夫人 加热破壁机 全自动多功能家用营养料理机 榨汁搅拌机 可拆刀,appliances,3.00,299.25,523.45,224.20
【4.5L容量·顶部加水】小米 Beautitec 超声波加湿器 SZK-A500,appliances,8.00,392.00,614.43,222.43
【限购，每人1盒 (50个)】 一次性口罩 50个装,life,25.00,354.50,575.21,220.71
北鼎 BUYDEEM 原装玻璃炖盅配件,appliances,6.00,19.50,239.94,220.44
美的 黑晶内胆可拆洗盖板自动保温电饭煲,appliances,10.00,297.06,517.17,220.11
厨房小型搅蒜器 迷你蒜泥器 扯蒜神器,life,55.00,107.75,327.30,219.55
一次性透明塑胶手套 便携式 100个/袋,life,107.00,98.44,315.91,217.47
九阳 智能双环控温晶瓷面板电陶炉 JYT-1M,appliances,4.00,363.08,579.96,216.88
RYO红吕受损发质洗护系列400ml,beauty,50.00,285.19,501.52,216.33
韩国 BELLY BULLY 超低卡代餐果冻 饱腹美味 150克/包,snacks,453.00,498.30,712.36,214.06
TUNEMAKERS 神经酰胺原液保湿乳霜 黄金配比敏感肌使用 50g,beauty,23.00,534.78,748.67,213.89
Hamilton Beach 家用智能电炖锅 5.5L 275W 33967C,appliances,5.00,246.75,459.95,213.20
日本 花王 乐而雅 LAURIER 无荧光剂量多安心裤 48厘米 5pcs,beauty,56.00,589.76,802.15,212.39
一次性透明塑料手套 100个装/包,life,101.00,79.79,292.09,212.30
毛穴抚子 大米精华保湿面膜 10片入,beauty,40.00,386.40,597.88,211.48
BOTANIST 限定甜蜜樱花洗护套装,beauty,28.00,872.00,1083.46,211.46
Makoto 超薄智能电茶炉 电热水壶 ZM-B206,appliances,6.00,286.68,497.97,211.29
虎牌 迷你电饭煲 JAJ-A55U 粉色 3杯,appliances,7.00,941.22,1151.96,210.74
Forcefield 白色一次性连帽防护服  2XL,life,16.00,252.00,462.54,210.54
厨夫人 天伦锅 耐热陶瓷砂锅汤锅 3升,life,6.00,189.36,398.39,209.03
JMsolution 焕活系列 粉红蜗牛原液亮白面膜 10片/盒,beauty,140.00,839.70,1046.78,207.08
吕 棕吕 强韧发根 500ml,beauty,33.00,215.49,421.32,205.83
小米 米家 无线除螨仪 强效吸力 UV紫外线杀菌,appliances,6.00,812.70,1017.96,205.26
Salton VitaPro系列 电热滤网煮茶壶 1.7L GK1461,appliances,4.00,151.20,355.96,204.76
九阳 免过滤立体加热全自动豆浆机 900-1300ml DJ13U-D81SG,appliances,12.00,2107.45,2311.98,204.53
PH Care 女性私处护理清洗液 150ml 4款入,beauty,134.00,1079.11,1283.19,204.11
日本 资生堂 药用尿素水润护手霜 100g,beauty,65.00,472.26,675.28,203.02
【周震南同款】日本Naris娜丽丝 修颜美白/清透水润防晒喷雾,beauty,25.00,332.27,534.96,202.69
HX 蓝色一次性3层防护口罩  50个/盒,life,34.00,1606.50,1807.61,201.11
【2021】最新Makoto 精煮加热破壁养生机 白色 1000ML,appliances,3.00,273.00,474.00,201.00
防飞沫面罩渔夫帽  防紫外线大沿遮阳全脸防护,life,21.00,154.35,355.10,200.75
韩国 Claigio Goody 除菌消毒湿巾,life,60.00,188.40,388.91,200.51
芙丽芳丝 氨基酸净润洗面奶 100g 弱酸性低刺激,beauty,22.00,443.04,643.42,200.38
JMsolution 焕活系列 黄金鱼子酱紧致滋润面膜 10片/盒,beauty,176.00,1035.49,1234.86,199.37
妮飘Nepia Genki! 面包超人 宝宝拉拉裤 男女共用,maternal,16.00,347.86,546.34,198.48
POWECOM KN95防护口罩 10只/包,life,18.00,567.00,765.00,198.00
【意大利制】Moneta 纳米陶瓷涂层 长柄锅 20cm,life,30.00,268.09,465.45,197.36
牛听听 儿童智能熏教机 防水版 小水牛,maternal,6.00,468.00,664.21,196.21
Cukars 韩彩染发剂系列,beauty,40.00,169.77,365.34,195.57
越秀山 加厚牛筋手套 3种尺寸可选,life,219.00,229.95,425.22,195.27
【胡歌同款】Laundrin 衣物除味香氛喷雾,life,67.00,391.98,586.59,194.61
YN 一次性防护口罩  10个装/包,life,254.00,2758.00,2951.40,193.40
NEO 混血两色 甜心巧克力 月抛硅水凝胶美瞳 2片,beauty,45.00,360.00,552.47,192.47
【新包装 额外16%增量】黄飞红 麻辣花生 98克/包,snacks,182.00,418.60,610.96,192.36
【眼药水中的爱玛仕】参天 Beauteye玫瑰眼药水 12ml,beauty,30.00,488.53,680.50,191.97
韩国Gik 胶原赋活大麻籽油面膜 5入,beauty,48.00,267.36,458.58,191.22
【圣诞特惠 / 2 for $25】 日本久光制药消炎镇痛贴/温感镇痛贴,life,40.00,363.30,553.88,190.58
UYEKI 除螨喷雾剂 无毒深层杀菌 过敏长痘克星,life,76.00,976.87,1167.27,190.40
【意大利制】Alluflon 系列 麦饭石汤锅,life,22.00,179.52,369.24,189.72
